# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	398
#@/user_id	da1390ef-815e-4a51-b807-fa295c9dead2
xuan zhuan ti 	旋轉體	c=1 d=0.423162 t=398
yan zhao wang 	研招網	c=1 d=0.733447 t=398
yao qiu 	要求	c=3 d=1.81401 t=398
ye ke 	也可	c=0 d=0.1 t=350
ye ke shou dong 	也可手動	c=1 d=1 t=351
yi 	一	c=0 d=0.0980199 t=398
yi ge 	一個	c=1 d=1 t=344
yi xia 	以下	c=2 d=1.02502 t=398
yin wen 	引文	c=1 d=0.292293 t=398
ying 	英	c=2 d=0.517266 t=398
ying she 	映射	c=0 d=0.0357007 t=398
ying she biao 	映射表	c=1 d=0.358796 t=398
ying wen 	英文	c=2 d=0.644342 t=398
ying wen shu ru 	英文輸入	c=1 d=0.293758 t=398
yong hu 	用戶	c=1 d=0.308819 t=398
yong hu zi liao tong bu 	用戶資料同步	c=1 d=1 t=338
you jian 	右鍵	c=1 d=1 t=337
yu 	玉	c=0 d=0.0433874 t=398
yu 	與	c=1 d=0.865022 t=398
yu xuan 	預選	c=1 d=0.193013 t=398
yu yan 	語言	c=1 d=1 t=386
yu zi shi chang 	玉子市場	c=1 d=0.436049 t=398
yuan cheng 	遠程	c=1 d=0.733779 t=398
yuan cheng cang ku 	遠程倉庫	c=3 d=1.56567 t=398
yuan cheng de 	遠程的	c=1 d=0.543351 t=398
yuan chuang 	原創	c=1 d=1 t=378
yuan xuan 	院選	c=1 d=0.410656 t=398
yun xu 	允許	c=1 d=0.913931 t=398
zai 	在	c=2 d=1.47267 t=398
zan cun qu 	暫存區	c=1 d=0.767206 t=398
zhan 	站	c=1 d=0.404542 t=398
zheng ge 	整個	c=0 d=0.0554327 t=398
zheng ge cang ku 	整個倉庫	c=1 d=0.557106 t=398
zheng he 	整合	c=1 d=1 t=397
zhi 	之	c=0 d=0.0640824 t=398
zhi 	至	c=3 d=1.94118 t=398
zhi hou 	之後	c=1 d=1 t=339
zhi zhen 	指針	c=2 d=1.72472 t=398
zhong 	中	c=5 d=1.7512 t=398
zhong guo 	中國	c=1 d=1 t=396
zhong wen 	中文	c=1 d=0.465334 t=398
zhu 	主	c=0 d=0.0687289 t=398
zhu 	住	c=0 d=0.066365 t=398
zhu fen zhi 	主分支	c=1 d=0.690734 t=398
zhu fen zhi 	住分支	c=1 d=0.734345 t=398
zhu ti 	主題	c=3 d=0.907175 t=398
zhuan huan 	轉換	c=0 d=0.1 t=382
zhuan yong 	專用	c=1 d=1 t=391
zi 	子	c=0 d=0.0433874 t=398
zi ding yi 	自定義	c=4 d=1.17582 t=398
zi fu 	字符	c=0 d=0.0298197 t=398
zi liao 	資料	c=0 d=0.1 t=337
zi ti 	字體	c=1 d=0.267477 t=398
zi ti da xiao 	字體大小	c=1 d=0.225373 t=398
zui hou 	最後	c=0 d=0.0726149 t=398
zui hou zai tui song 	最後在推送	c=1 d=0.729789 t=398
zuo wei 	作爲	c=1 d=0.240508 t=398
